name,station_id,lat,lon,alt
Castelló - Ermita,12040009,39.95762675,-0.03742911,18
Castelló - Grau,12040010,39.98353084,0.00896314,2
Castelló - ITC,12040016,39.99583283,-0.06486177,56
Castelló - Patronat d´Esports,12040015,39.98870199,-0.02646873,20
Castelló - Penyeta,12040008,40.01288139,-0.05812862,94
Castelló AP Gregal,12040302,39.96972214,0.01361108,1
Castelló AP Llevant,12040303,39.96667768,0.00890491,2
Castelló AP Mestral,12040306,39.9773674,0.02505017,0
Castelló AP Ponent,12040304,39.96305554,0.00694444,3
Castelló AP Tramuntana,12040301,39.97499992,0.01638888,3
Castelló AP Xaloc,12040305,39.95025201,0.00501868,1
 Castelló CEIP La Marina,12040020,39.96944611,0.0089427,2
